index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Nostocaceae;D_5__Sphaerospermopsis BCCUSP55,0,33,0,0,4,16,0,0,0,25,0,24,0,34,0,0,0,0,0,7,0,0,0,50,61,0,0,0,48,23,28,0,0,13,53,13,9,7,10,42,0,42,23,15,25,70,74,32,23,8,46,0,22,17,6,0,34,14,16,19,15,0,49,19,19,0,0,29,51,50,42,0,35,0,0,5,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Rhodocyclaceae;D_5__Sulfuritalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,15,0,0,19,0,30,0,0,0,23,50,14,14,0,0,32,0,0,0,0,19,0,17,0,0,0,33,26,0,0,0,38,37,10,0,0,0,44,20,0,0,0,0,0,0,0,18,23,45,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Rickettsiaceae;D_5__Candidatus Megaira,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,24,21,33,15,21,30,22,0,20,31,29,21,0,32,0,17,0,23,8,18,0,23,0,0,0,44,30,0,36,36,62,0,0,11,11,53,31,22,18,44,57,25,0,0,0,49,18,40,0,44,61,24,29,0,30,24,44,22,11,8,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Methylococcales;D_4__Methylococcaceae;D_5__Methyloparacoccus,0,0,0,0,0,0,33,37,0,28,0,0,39,0,0,0,0,36,0,26,35,16,0,45,28,0,0,0,0,0,26,35,60,0,25,0,61,32,11,29,0,0,83,51,29,27,26,72,34,49,26,0,25,170,101,31,39,29,90,31,46,16,0,0,75,74,17,0,12,39,51,14,53,14,26,57,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Sphaerotilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,26,0,0,54,0,51,25,47,0,14,0,39,44,34,29,35,14,44,0,33,29,41,43,37,32,73,59,0,0,53,43,0,0,34,36,0,0,35,25,33,0,42,15,42,34,43,54,58,59,54,28,42,0,30,44,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;__,32,12,0,0,0,0,0,0,26,0,36,84,0,37,0,5,0,0,0,35,22,80,38,41,0,10,71,0,0,0,49,18,45,0,0,26,0,107,0,56,0,30,40,43,25,0,0,79,42,0,0,131,46,85,74,53,0,0,0,72,0,75,0,45,54,150,135,0,0,0,0,0,38,0,0,53,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__Roseomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,0,0,20,17,0,15,0,20,0,26,44,25,17,0,0,40,0,0,28,8,47,0,0,32,0,0,0,32,25,24,0,32,37,21,29,38,28,0,2,0,16,25,31,0,0,9,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Methylophilaceae;D_5__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,23,53,18,31,0,32,33,26,0,42,0,31,48,41,35,37,35,40,38,58,36,23,61,16,38,29,47,48,32,34,37,43,34,75,38,32,37,25,43,53,30,25,41,36,76,80,75,57,28,40,40,37,54,31,28,26,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade III;D_5__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Rubritaleaceae;D_5__Luteolibacter,0,0,0,0,0,0,27,0,12,18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0
