index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Methyloligellaceae,0,0,0,0,0,0,0,0,0,0,0,35,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Xanthobacteraceae,11,39,0,0,78,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Gaiellales;D_4__uncultured,0,0,0,0,4,0,107,0,13,50,0,41,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Lentimicrobiaceae,0,0,0,0,93,4,20,24,27,84,2,164,0,249,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,4,0,0,7,7,0,0,0,13,0,0,0,0,0,0,9,0,0,0,20,13,0,2,0,7,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,26,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Epipyxis sp. PR26KG,0,0,0,0,0,31,74,0,0,51,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Cytophagaceae,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,15,0,0,0,0,0,0,8,0,0,24,15,11,0,0,5,74,0,0,0,0,0,17,0,11,0,11,67,0,10,0,0,25,28,8,10,0,0,0,14,6,0,0,7,18,0,19,12,0,15,15,0,8,20,12,9,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Aeromonadales;D_4__Aeromonadaceae,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,8,10,8,11,7,0,0,2,0,0,0,0,0,0,0,4,0,6,0,7,0,6,10,10,0,0,0,13,7,0,5,0,0,9,13,0,0,0,2,7,0,0,7,6,9,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Syntrophobacterales;D_4__Syntrophaceae,0,0,0,0,58,0,0,2,45,34,135,30,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Sva0485;D_4__uncultured bacterium,0,0,0,0,0,20,68,0,0,46,9,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__Chthoniobacteraceae,0,54,0,0,3,0,19,0,3,0,0,0,0,8,0,8,20,0,20,24,23,44,25,31,0,40,48,23,7,0,0,18,15,25,32,34,16,46,25,14,18,10,34,47,5,11,0,44,34,25,0,0,11,0,29,10,0,14,23,40,25,0,12,0,27,15,19,10,14,25,0,23,0,33,10,32,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Legionellales;D_4__Legionellaceae,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,20,11,14,9,8,23,22,21,35,33,23,18,30,14,20,33,22,42,10,38,29,24,47,10,62,39,61,46,24,21,35,33,46,57,15,54,17,41,68,36,27,67,52,87,53,13,32,45,71,86,33,40,27,27,22,20,24,59,16,0,0,0
